epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3191,0,30.2115,0,0.00205,0.91667,0.02748,0.0143,1.20498,6.38697,2.01698,0.00020006,0.00020006,0.00020006
2,27.9048,0.13755,24.3506,0.28514,0.00127,0.66667,0.06212,0.0299,1.16145,6.42836,2.06333,0.000404153,0.000404153,0.000404153
3,41.0077,0.20662,21.9012,0.57509,0.01319,0.25,0.03385,0.0151,1.47394,7.45092,3.27294,0.000597636,0.000597636,0.000597636
4,54.7409,0.35944,21.247,0.51542,0.00092,0.58333,0.01044,0.00265,1.95696,7.82491,3.00957,0.000780509,0.000780509,0.000780509
5,67.7773,0.10012,23.1507,0.18537,0.00086,0.58333,0.01413,0.0029,2.36493,9.16141,3.30889,0.000952771,0.000952771,0.000952771
6,80.8504,0.65494,16.2153,0.91272,0.00087,0.58333,0.00164,0.00059,2.60199,11.519,3.76254,0.00111442,0.00111442,0.00111442
7,94.0847,0.53364,20.0525,0.66388,0.00117,0.66667,0.01,0.00238,2.08759,7.53926,3.11658,0.00121679,0.00121679,0.00121679
8,107.086,0.51,18.9507,0.67032,0.00117,0.66667,0.04388,0.00969,2.50588,6.73761,4.61901,0.00118143,0.00118143,0.00118143
9,119.993,0.14678,22.606,0.12987,0.00082,0.58333,0.03742,0.0084,2.38504,7.1686,3.50731,0.00114606,0.00114606,0.00114606
10,132.97,0.27145,21.2876,0.30406,0.00053,0.33333,0.01086,0.00249,2.79097,7.05338,3.90507,0.00111069,0.00111069,0.00111069
11,145.897,0.62344,18.9283,0.68184,0.00053,0.33333,0.01086,0.00249,2.79097,7.05338,3.90507,0.00107532,0.00107532,0.00107532
12,159.738,0.16418,21.4568,0.23123,0.00078,0.58333,0.00151,0.00061,2.69316,7.37075,3.12634,0.00103995,0.00103995,0.00103995
13,173.528,0.16293,20.8689,0.17794,0.00059,0.33333,0.00136,0.0004,3.01669,6.92145,3.53843,0.00100459,0.00100459,0.00100459
14,186.688,0.19029,19.6225,0.27831,0.00085,0.58333,0.00112,0.00026,2.99512,8.15328,3.682,0.000969219,0.000969219,0.000969219
15,200.297,0.29895,19.3168,0.3284,0.00081,0.41667,0.00176,0.00028,3.32846,7.92584,3.75159,0.000933851,0.000933851,0.000933851
16,213.358,0.74483,14.5886,1.11707,0.00115,0.66667,0.00191,0.00045,3.19775,7.92437,3.49285,0.000898484,0.000898484,0.000898484
17,226.945,0.6326,15.6205,0.83368,0.00091,0.41667,0.00153,0.00041,2.63647,6.96632,3.03247,0.000863116,0.000863116,0.000863116
18,240.429,0.1509,18.6998,0.27258,0.00083,0.58333,0.00277,0.00061,2.38111,6.39945,2.92655,0.000827748,0.000827748,0.000827748
19,253.845,0.42374,16.9103,0.57491,0.00061,0.33333,0.00101,0.00031,2.63262,7.47567,3.22604,0.00079238,0.00079238,0.00079238
20,266.779,0.36049,17.131,0.36437,0.00031,0.25,0.00034,0.0002,3.16894,7.29633,3.46643,0.000757013,0.000757013,0.000757013
21,279.78,0.64094,16.4353,0.57457,0.00031,0.25,0.00034,0.0001,3.38777,7.86047,3.69892,0.000721645,0.000721645,0.000721645
22,292.714,0.31872,17.9343,0.36495,0.00031,0.25,0.00036,0.0001,3.42641,8.03921,3.60019,0.000686277,0.000686277,0.000686277
23,305.796,0.61196,16.6653,0.67653,0.00029,0.25,0.00035,0.0001,3.36763,8.17101,3.48145,0.000650909,0.000650909,0.000650909
24,319.118,0.27479,16.5057,0.34645,0.0003,0.25,0.00032,0.00012,3.61041,13.5844,5.62451,0.000615542,0.000615542,0.000615542
25,332.311,0.29748,16.5621,0.35381,0.0003,0.25,0.00029,0.00011,3.44959,13.374,5.87796,0.000580174,0.000580174,0.000580174
26,345.184,0.30873,16.2604,0.35813,0.00028,0.25,0.00024,7e-05,3.74969,11.732,4.75082,0.000544806,0.000544806,0.000544806
27,358.176,0.30342,15.2423,0.42111,0.00028,0.25,0.00024,7e-05,3.74969,11.732,4.75082,0.000509438,0.000509438,0.000509438
28,371.016,0.43724,16.6868,0.60605,0.00096,0.58333,0.00134,0.00026,2.98672,8.58405,3.41844,0.000474071,0.000474071,0.000474071
29,383.864,0.37724,15.0617,0.51375,0.00055,0.5,0.00425,0.00141,2.60381,7.27641,3.13162,0.000438703,0.000438703,0.000438703
30,396.98,0.23773,16.837,0.27159,0.00097,0.58333,0.01014,0.00397,2.39818,7.35559,3.11114,0.000403335,0.000403335,0.000403335
31,410.462,0.08662,17.59,0.15179,0.0005,0.5,0.00614,0.00207,2.27278,6.97388,3.04814,0.000367967,0.000367967,0.000367967
32,423.046,0.07501,17.4727,0.14125,0.00086,0.58333,0.00249,0.00101,2.13283,7.53535,3.01923,0.0003326,0.0003326,0.0003326
33,435.636,0.06615,17.3836,0.0923,0.00088,0.58333,0.00195,0.00085,1.97517,7.2959,2.83778,0.000297232,0.000297232,0.000297232
34,448.331,0.04584,17.2942,0.12392,0.00093,0.58333,0.0025,0.00094,1.83018,6.432,2.66592,0.000261864,0.000261864,0.000261864
35,461.569,0.11008,17.2801,0.16226,0.00093,0.58333,0.00388,0.00135,1.73836,6.21954,2.51719,0.000226497,0.000226497,0.000226497
36,474.326,0.04808,17.1572,0.13188,0.00093,0.58333,0.0032,0.00219,1.62848,5.74293,2.43855,0.000191129,0.000191129,0.000191129
37,487.034,0.06413,17.1443,0.12454,0.0013,0.66667,0.00306,0.00218,1.57906,5.74435,2.41433,0.000155761,0.000155761,0.000155761
38,500.026,0.0505,17.1188,0.08948,0.00128,0.66667,0.00447,0.00228,1.59086,5.8031,2.48715,0.000120393,0.000120393,0.000120393
39,513.266,0.08141,17.0874,0.14536,0.00129,0.66667,0.00295,0.0016,1.57312,5.6817,2.40678,8.50255e-05,8.50255e-05,8.50255e-05
40,527.375,0.03379,17.0161,0.08115,0.00132,0.66667,0.00437,0.00213,1.61056,5.79617,2.49803,4.96578e-05,4.96578e-05,4.96578e-05
